"Laptop MSI Gaming Thin 15 B13UCX-2080VN i5 13420H/16GB/512GB/15.6"" FHD/RTX 2050 4GB/Win 11_Balo",16.490.000 ₫
"Laptop Dell Vostro 15 V3530 i5 1335U/16GB/512GB/15.6""FHD/Win11/Office HS21",18.390.000 ₫
"Laptop MSI Modern 14 C12MO-660VN i5-1235U/16GB/512GB/14""FHD/Win11",11.990.000 ₫
"Laptop Dell Vostro 14 3420 (V4I5703W1) i5-1235U/16GB/512GB/14"" FHD/Win11/Office HS21",16.390.000 ₫
"Laptop Acer Swift Go SFG14-41-R19Z R5 7530U/16GB/512GB/14""FHD/Win11",15.790.000 ₫
"Laptop Lenovo IdeaPad Slim 5 16IAH8 i5 12450H/16GB/512GB/16""WUXGA/Win11",15.990.000 ₫
Laptop Acer Swift Lite 14 AI SFL14-51M-56HS Ultra5 125U/16GB/512GB/Win11,18.490.000 ₫
"Laptop MSI Gaming GF63 Thin 12UC-1006VN i5 12450H/16GB/512GB/15.6""FHD/Nvidia RTX 3050 4GB/Win11",16.490.000 ₫
"Laptop Asus Vivobook Flip TN3402YA-LZ188W R5-7530U/16GB/512GB/14"" Touch/Win11",15.990.000 ₫
"Laptop Acer Aspire 3 A315-59-51X8 i5 1235U/8GB/512GB/15.6""FHD/Win11",9.990.000 ₫
Laptop VAIO FE14 i5 1235U/8GB/512GB/14' FHD/Intel UHD/Win11 (VWNC51427-BK),13.490.000 ₫
"Laptop MSI Gaming Thin 15 B12UCX-1419VN i5-12450H/8GB/512GB/15.6""FHD/RTX2050_4GB/Win11_Balo",15.490.000 ₫
"Laptop Lenovo ThinkBook 16 G6 IRL i5-13420H/16GB/512GB/16.0""WUXGA/Win 11",17.990.000 ₫
"Laptop Lenovo ThinkBook 16 G6 ABP R5-7530U/16GB/512GB/16"" WUXGA/Win 11",17.390.000 ₫
"Laptop Dell Inspiron 15 N3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21_N5I5011W1",17.290.000 ₫
"Laptop MSI Modern 14 C13M-612VN i5 1335U/16GB/512GB/14""FHD/Win11_Hồng",13.490.000 ₫
Laptop HP Pavilion 15-eg3095TU i5 1335U/8GB/512GB/15.6'FHD/Win11,16.490.000 ₫
"Laptop MSI Gaming Cyborg 15 A12UCX-281VN i5-12450H/8GB/512GB/15.6""FHD/RTX 2050 4GB/Win11_Balo",15.490.000 ₫
"Laptop Acer Aspire 5 A515-58P-56RP i5 1335U/16GB/512GB/15.6""FHD/Win11",14.490.000 ₫
"Laptop Lenovo Ideapad 3 15IAU7 i7 1255U/16GB/512GB/15.6""FHD/Win 11",15.490.000 ₫
"Laptop Acer Aspire 5 A515-58P-56RP i5 1335U/16GB/512GB/15.6""FHD/Win11",14.490.000 ₫
"Laptop MSI Gaming GF63 Thin 11UC-1228VN i7-11800H/8GB/512GB/15.6""FHD/GeForce RTX3050_4GB/Win11",16.990.000 ₫
Laptop HP 14s-dq5121TU i3 1215U/8GB/512GB/14'FHD/Win11,10.490.000 ₫
"Laptop Dell Latitude L3540 i5 1235U/16GB/512GB/15.6"" FHD/Win11",16.990.000 ₫
MacBook Air 13 inch M1 2020 8CPU 7GPU 8GB/256GB,18.090.000 ₫
"Laptop Acer Nitro 5 Tiger Gaming AN515-58-773Y i7 12700H/16GB/512GB/15.6""FHD/NVIDIA GeForce RTX3050Ti 4GB/Win11",22.990.000 ₫
"Laptop HP Gaming Victus 16-s0173AX R5-7640HS/16GB/512GB/16"" 144Hz/GeForce RTX3050 6GB/Win11_A9LG9PA",20.990.000 ₫
"Laptop Acer Aspire Lite AL16-51P-55N7 i5 1235U/16GB/512GB/16"" WUXGA/Win11",13.490.000 ₫
"Laptop Dell Inspiron N3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21",16.390.000 ₫
"Laptop HP 15-fd0235TU i5 1334U/16GB/512GB SSD/15.6""FHD//Win11",16.290.000 ₫
"Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W i5-12500H/16GB/512GB/14"" 2.8K/Win11",16.290.000 ₫
"Laptop MSI Gaming Thin 15 B13UCX-2080VN i5 13420H/16GB/512GB/15.6"" FHD/RTX 2050 4GB/Win 11_Balo",16.490.000 ₫
Laptop HP Pavilion 15-eg3111TU i5 1335U/16GB/512GB/15.6'FHD/Win11,17.490.000 ₫
MacBook Air 13 inch M2 2022 8CPU 8GPU 8GB/256GB,22.990.000 ₫
Laptop HP Pavilion 15-eg3112TU i7 1355U/16GB/512GB/15.6'FHD/Win11,21.890.000 ₫
"Laptop Asus TUF Gaming FX507ZC4-HN095W i5 12500H/16GB/512GB/15.6""/Nvidia RTX3050 4GB/Win11",20.290.000 ₫
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/12GB/512GB/15.6""FHD/RTX3050 6GB/Win11",20.990.000 ₫
Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14'FHD/AMD Radeon Graphics/Win11,12.790.000 ₫
"Laptop Dell Inspiron N3530 i5 1334U/16GB/512GB/15.6""FHD/Win11/Office HS21",17.490.000 ₫
"Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W i5-12500H/16GB/512GB/14"" 2.8K/Win11",16.290.000 ₫
"Laptop HP 15-fd0235TU i5 1334U/16GB/512GB SSD/15.6""FHD//Win11",16.290.000 ₫
"Laptop Lenovo IdeaPad 3 14IAH8 i5 12450H/16GB/512GB/14""FHD/Win11",14.190.000 ₫
"Laptop Dell Inspiron N3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21",16.390.000 ₫
"Laptop Masstel E140 Celeron N4120/4GB/128GB/14""HD/Win10",3.590.000 ₫
"Laptop Dell Latitude L3540 i5 1235U/16GB/512GB/15.6"" FHD/Win11",16.990.000 ₫
